"","{#status->#R}","{#status->#I}","{#status->#S}"
"178.10000000000002","7098.940674208748","2.7689856464106346","2898.290340144836"
"178.20000000000002","7098.9682765640555","2.751503859489283","2898.2802195764493"
"178.3","7098.995704653656","2.734132388454401","2898.270162957884"
"178.4","7099.022959577225","2.7168705378574365","2898.2601698849116"
"178.5","7099.05004242751","2.6997176166254664","2898.2502399558593"
"178.60000000000002","7099.076954290365","2.6826729380337753","2898.2403727715955"
"178.70000000000002","7099.103696244803","2.665735819678602","2898.2305679355127"
"178.8","7099.130269363031","2.648905583450059","2898.220825053513"
"178.9","7099.156674710499","2.6321815555052166","2898.211143733991"
"179.0","7099.182913345936","2.615563066241358","2898.2015235878175"
"179.10000000000002","7099.2089863214","2.5990494502693977","2898.1919642283256"
"179.20000000000002","7099.234894682313","2.582640046387468","2898.1824652712935"
"179.3","7099.2606394675095","2.566334197554667","2898.17302633493"
"179.4","7099.286221709271","2.5501312508649727","2898.163647039859"
"179.5","7099.31164243337","2.5340305575213167","2898.154327009103"
"179.60000000000002","7099.336902659115","2.5180314728098216","2898.145065868069"
"179.70000000000002","7099.362003399386","2.5021333560741974","2898.135863244535"
"179.8","7099.3869456606735","2.4863355706902976","2898.126718768631"
"179.9","7099.411730443127","2.4706374840408336","2898.117632072827"
"180.0","7099.436358740587","2.455038467490246","2898.1086027919177"
"180.10000000000002","7099.460831540628","2.439537896359735","2898.099630563008"
"180.20000000000002","7099.485149824595","2.424135149902441","2898.090715025497"
"180.3","7099.50931456765","2.4088296112787853","2898.081855821066"
"180.4","7099.533326738802","2.3936206675319616","2898.07305259366"
"180.5","7099.557187300952","2.3785077095635794","2898.064304989479"
"180.60000000000002","7099.580897210928","2.3634901321094617","2898.0556126569577"
"180.70000000000002","7099.604457419524","2.348567333715591","2898.0469752467557"
"180.8","7099.627868871539","2.3337387167142056","2898.038392411742"
"180.9","7099.651132505815","2.319003687200048","2898.02986380698"
"181.0","7099.674249255273","2.3043616550067547","2898.0213890897153"
"181.10000000000002","7099.697220046951","2.2898120336834014","2898.012967919361"
"181.20000000000002","7099.72004580204","2.275354240471186","2898.0045999574845"
"181.3","7099.7427274359225","2.260987696280264","2897.9962848677924"
"181.4","7099.765265858209","2.2467118256667233","2897.988022316119"
"181.5","7099.787661972774","2.2325260568097054","2897.9798119704114"
"181.60000000000002","7099.80991667779","2.2184298214886686","2897.971653500717"
"181.70000000000002","7099.832030865766","2.204422555060792","2897.963546579169"
"181.8","7099.854005423583","2.190503696438521","2897.955490879974"
"181.9","7099.875841232528","2.1766726880672533","2897.9474860794003"
"182.0","7099.897539168331","2.162928975903163","2897.9395318557617"
"182.10000000000002","7099.919100101198","2.1492720093911646","2897.931627889407"
"182.20000000000002","7099.9405248958465","2.1357012414430128","2897.9237738627066"
"182.3","7099.961814411542","2.1222161284155394","2897.9159694600385"
"182.4","7099.98296950213","2.1088161300890267","2897.9082143677774"
"182.5","7100.003991016069","2.0955007096457146","2897.900508274281"
"182.60000000000002","7100.02487979647","2.0822693336484432","2897.8928508698777"
"182.70000000000002","7100.045636681122","2.069121472019427","2897.885241846854"
"182.8","7100.066262502534","2.056056598019164","2897.877680899442"
"182.9","7100.086758087962","2.0430741882254724","2897.8701677238078"
"183.0","7100.107124259444","2.030173722512663","2897.862702018038"
"183.10000000000002","7100.1273618338355","2.017354684030838","2897.855283482129"
"183.20000000000002","7100.147471622837","2.0046165591853202","2897.8479118179735"
"183.3","7100.16745443303","1.991958837616212","2897.84058672935"
"183.4","7100.187311065909","1.9793810121780788","2897.833307921909"
"183.5","7100.207042317913","1.9668825789197617","2897.8260751031635"
"183.60000000000002","7100.226648980458","1.9544630370643166","2897.8188879824743"
"183.70000000000002","7100.246131839966","1.9421218889890761","2897.811746271041"
"183.8","7100.265491677901","1.929858640205839","2897.8046496818897"
"183.9","7100.284729270796","1.9176727993411808","2897.7975979298594"
"184.0","7100.3038453902855","1.9055638781168889","2897.790590731594"
"184.10000000000002","7100.322840803138","1.893531391330519","2897.7836278055274"
"184.20000000000002","7100.341716271285","1.8815748568360737","2897.7767088718747"
"184.3","7100.360472551851","1.8696937955248019","2897.76983365262"
"184.4","7100.379110397184","1.8578877313061168","2897.763001871505"
"184.5","7100.3976305548895","1.8461561910886353","2897.756213254018"
"184.60000000000002","7100.416033767852","1.8344987047613333","2897.749467527383"
"184.70000000000002","7100.434320774273","1.822914805174821","2897.742764420548"
"184.8","7100.452492307697","1.8114040281227344","2897.736103664177"
"184.9","7100.470549097039","1.7999659123232425","2897.729484990634"
"185.0","7100.4884918666185","1.7885999994006712","2897.722908133977"
"185.10000000000002","7100.506321336184","1.7773058338672405","2897.7163728299447"
"185.20000000000002","7100.524038220944","1.7660829631049184","2897.709878815947"
"185.3","7100.541643231595","1.7549309373473851","2897.703425831053"
"185.4","7100.5591370743505","1.7438493096621126","2897.6970136159835"
"185.5","7100.576520450967","1.7328376359325548","2897.690641913096"
"185.60000000000002","7100.593794058776","1.7218954748404496","2897.6843104663785"
"185.70000000000002","7100.61095859071","1.7110223878482314","2897.678019021437"
