"","{#status->#R}","{#status->#Y}","{#status->#I}","{#status->#S}"
"109.80000000000001","9866.301918988078","0.1928985579038588","1.7472501810577543","131.75793227294463"
"109.9","9866.321118260845","0.19108973754320432","1.7308660259843907","131.7569259756114"
"110.0","9866.34013750093","0.18929787766089495","1.7146354993738728","131.75592912201776"
"110.10000000000001","9866.358978396422","0.18752281924366634","1.69855716084695","131.75494162347152"
"110.2","9866.377642619575","0.18576440476876163","1.6826295835263505","131.7539633921147"
"110.30000000000001","9866.396131826968","0.1840224781899662","1.6668513539102638","131.7529943409157"
"110.4","9866.414447659652","0.18229688492377327","1.6512210717470088","131.75203438366134"
"110.5","9866.432591743289","0.18058747183567891","1.6357373499108745","131.75108343494935"
"110.60000000000001","9866.4505656883","0.1788940872266055","1.620398814279123","131.7501414101806"
"110.7","9866.468371090004","0.17721658081945205","1.6052041036101454","131.7492082255515"
"110.80000000000001","9866.48600952877","0.17555480374577068","1.5901518694227577","131.74828379804669"
"110.9","9866.503482570144","0.17390860853256773","1.575240775876627","131.74736804543127"
"111.0","9866.520791764997","0.17227784908922839","1.560469499653817","131.7464608862438"
"111.10000000000001","9866.537938649659","0.17066238069456383","1.5458367298414446","131.74556223978877"
"111.2","9866.554924746055","0.16906205998397955","1.5313411678154318","131.74467202612945"
"111.30000000000001","9866.571751561842","0.16747674493676395","1.51698152712535","131.7437901660808"
"111.4","9866.588420590539","0.16590629486349578","1.50275653338034","131.74291658120222"
"111.5","9866.604933311664","0.16435057039356962","1.4886649241361019","131.74205119379073"
"111.60000000000001","9866.621291190864","0.16280943346283805","1.4747054487829414","131.74119392687388"
"111.7","9866.637495680045","0.1612827473013696","1.4608768684348672","131.74034470420287"
"111.80000000000001","9866.653548217497","0.15977037642132136","1.4471779558197242","131.73950345024582"
"111.9","9866.669450228028","0.15827218660492506","1.4336074951703575","131.73867009018093"
"112.0","9866.685203123085","0.15678804489258566","1.420164282116795","131.73784454988984"
"112.10000000000001","9866.700808300882","0.1553178195710914","1.4068471235794398","131.73702675595092"
"112.2","9866.716267146525","0.15386138016193424","1.3936548376632623","131.73621663563281"
"112.30000000000001","9866.731581032132","0.15241859740973976","1.3805862535529847","131.73541411688782"
"112.4","9866.746751316958","0.15098934327080524","1.3676402114092456","131.73461912834557"
"112.5","9866.76177934751","0.14957349090174515","1.3548155622657376","131.73383159930654"
"112.60000000000001","9866.776666457672","0.148170914648243","1.3421111679273088","131.7330514597358"
"112.7","9866.791413968824","0.14678149003390845","1.329525900869018","131.73227864025674"
"112.80000000000001","9866.806023189953","0.14540509374923888","1.3170586441361356","131.7315130721448"
"112.9","9866.820495417776","0.1440416036406842","1.3047082912450816","131.7307546873214"
