"","{#status->#R}","{#status->#Y}","{#status->#I}","{#status->#S}"
"88.0","9997.827285306901","0.21727140406288545","1.9554426368991404","6.521500082622176e-7"
"88.10000000000001","9997.848904172819","0.21510951747438728","1.9359856575993248","6.521201901012322e-7"
"88.2","9997.870307927427","0.21296914201682535","1.9167222784779687","6.52090669978996e-7"
"88.30000000000001","9997.89149871112","0.21085006365087092","1.8976505731811133","6.520614449033193e-7"
"88.4","9997.912478642991","0.20875207046692218","1.878768634522342","6.520325119123147e-7"
"88.5","9997.933249821053","0.2066749526639131","1.8600745742920601","6.520038680740852e-7"
"88.60000000000001","9997.95381432244","0.20461850252833308","1.8415665230686722","6.519755104864154e-7"
"88.7","9997.97417420362","0.20258251441345557","1.8232426300316384","6.519474362764658e-7"
"88.80000000000001","9997.994331500598","0.20056678471877307","1.8051010627763913","6.51919642600471e-7"
"88.9","9998.01428822912","0.198571111869637","1.787140007131093","6.518921266434403e-7"
"89.0","9998.034046384875","0.19659529629710001","1.7693576669752176","6.518648856188621e-7"
"89.10000000000001","9998.053607943697","0.194639140417959","1.7517522640599363","6.518379167684112e-7"
"89.2","9998.072974861756","0.1927024486149965","1.7343220378302922","6.518112173616589e-7"
"89.30000000000001","9998.092149075761","0.190785027217419","1.7170652452491426","6.517847846957869e-7"
"89.4","9998.111132503149","0.18888668448148946","1.6999801606228546","6.517586160953033e-7"
"89.5","9998.129927042279","0.187007230571353","1.6830650754287333","6.517327089117626e-7"
"89.60000000000001","9998.14853457262","0.18514647754005292","1.6663182981441689","6.517070605234876e-7"
"89.7","9998.166956954941","0.18330423931073614","1.6497381540774827","6.516816683352951e-7"
"89.80000000000001","9998.185196031496","0.18148033165804509","1.6333229852004567","6.516565297782242e-7"
"89.9","9998.203253626207","0.17967457218969518","1.6170711499825292","6.516316423092674e-7"
"90.0","9998.22113154485","0.17788678032823538","1.6009810232266404","6.516070034111043e-7"
"90.10000000000001","9998.238831575229","0.17611677729299025","1.5850509959067112","6.515826105918387e-7"
"90.2","9998.256355487363","0.17436438608218185","1.56927947500674","6.515584613847381e-7"
"90.30000000000001","9998.27370503366","0.17262943145522935","1.553664883361499","6.515345533479757e-7"
"90.4","9998.290881949086","0.17091173991522482","1.5382056594988163","6.515108840643758e-7"
"90.5","9998.307887951349","0.1692111396915834","1.522900257483428","6.514874511411613e-7"
"90.60000000000001","9998.324724741062","0.16752746072286612","1.5077471467623833","6.514642522097037e-7"
"90.7","9998.341394001918","0.16586053463977354","1.492744812011987","6.514412849252768e-7"
"90.80000000000001","9998.357897400858","0.16421019474830884","1.4778917529862672","6.514185469668115e-7"
"90.9","9998.374236588235","0.1625762760131081","1.4631864843669484","6.513960360366543e-7"
"91.0","9998.390413197982","0.16095861504093673","1.4486275356149192","6.513737498603279e-7"
"91.10000000000001","9998.406428847771","0.15935705006434997","1.4342134508231765","6.513516861862939e-7"
"91.2","9998.422285139184","0.15777142092551605","1.4199427885712341","6.513298427857194e-7"
"91.30000000000001","9998.437983657861","0.15620156906020025","1.4058141217809792","6.513082174522441e-7"
"91.4","9998.453525973668","0.15464733748190831","1.3918260375739633","6.512868080017514e-7"
"91.5","9998.468913640849","0.15310857076618775","1.3779771371301135","6.51265612272141e-7"
"91.60000000000001","9998.484148198184","0.15158511503508515","1.3642660355478493","6.512446281231045e-7"
"91.7","9998.49923116914","0.15007681794175837","1.3506913617055907","6.512238534359028e-7"
"91.80000000000001","9998.514164062028","0.14858352865524163","1.337251758124646","6.512032861131459e-7"
"91.9","9998.528948370149","0.14710509784536238","1.3239458808334612","6.511829240785755e-7"
"92.0","9998.543585571946","0.14564137766780805","1.3107723992332239","6.511627652768497e-7"
"92.10000000000001","9998.558077131152","0.14419222174934163","1.2977299959647999","6.511428076733289e-7"
"92.2","9998.572424496937","0.14275748517316406","1.284817366776998","6.511230492538657e-7"
"92.30000000000001","9998.586629104046","0.1413370244644226","1.2720332203961433","6.511034880245958e-7"
"92.4","9998.600692372953","0.1399306975758631","1.2593762783969482","6.510841220117311e-7"
"92.5","9998.614615709996","0.13853836387362525","1.2468452750746692","6.510649492613557e-7"
"92.60000000000001","9998.628400507521","0.13715988412317898","1.234438957318536","6.510459678392233e-7"
"92.7","9998.64204814402","0.13579512047540093","1.222156084486438","6.510271758305568e-7"
"92.80000000000001","9998.655559984267","0.1344439364527895","1.2099954282808607","6.510085713398503e-7"
"92.9","9998.668937379456","0.13310619693581685","1.197955772626053","6.509901524906733e-7"
"93.0","9998.68218166734","0.13178176814941694","1.1860359135464207","6.509719174254761e-7"
"93.10000000000001","9998.695294172358","0.13047051764960788","1.1742346590461261","6.50953864305398e-7"
"93.2","9998.70827620577","0.12917231431024737","1.162550828989889","6.509359913100775e-7"
"93.30000000000001","9998.721129065794","0.12788702830992008","1.1509832549849706","6.509182966374636e-7"
"93.4","9998.733854037724","0.12661453111895532","1.1395307802643346","6.509007785036304e-7"
"93.5","9998.746452394067","0.12535469548657396","1.128192259570969","6.508834351425923e-7"
"93.60000000000001","9998.75892539467","0.12410739542816335","1.1169665590433593","6.508662648061221e-7"
"93.7","9998.771274286844","0.1228725062126786","1.1058525561021015","6.508492657635704e-7"
"93.80000000000001","9998.783500305488","0.12164990435016951","1.0948491393376436","6.508324363016872e-7"
"93.9","9998.795604673214","0.12043946757943136","1.083955208399143","6.50815774724445e-7"
"94.0","9998.80758860047","0.11924107485577878","1.0731696738844312","6.507992793528641e-7"
"94.10000000000001","9998.819453285656","0.11805460633894113","1.0624914572310722","6.507829485248398e-7"
"94.2","9998.831199915252","0.11687994338107839","1.0519194906085054","6.507667805949706e-7"
"94.30000000000001","9998.842829663932","0.11571696851491625","1.0414527168112622","6.507507739343892e-7"
"94.4","9998.854343694678","0.11456556544199933","1.0310900891532437","6.507349269305944e-7"
"94.5","9998.865743158905","0.11342561902106123","1.0208305713630523","6.507192379872854e-7"
"94.60000000000001","9998.877029196568","0.11229701525651023","1.0106731374803624","6.507037055241973e-7"
"94.7","9998.88820293628","0.11117964128702976","1.0006167717533245","6.506883279769388e-7"
"94.80000000000001","9998.899265495424","0.11007338537429207","0.9906604685369889","6.506731037968308e-7"
"94.9","9998.910217980265","0.10897813689178437","0.98080323219274","6.506580314507477e-7"
"95.0","9998.921061486062","0.10789378631374606","0.9710440769887324","6.506431094209594e-7"
