"","{#status->#R}","{#status->#I}","{#status->#S}"
"175.70000000000002","7544.478717046398","2.9362577104736993","2452.585025243109"
"175.8","7544.507984324427","2.917218527965193","2452.574797147589"
"175.9","7544.5370618282695","2.8983027397328165","2452.5646354319783"
"176.0","7544.565950787871","2.879509546812171","2452.554539665298"
"176.10000000000002","7544.5946524252095","2.860838155402197","2452.544509419369"
"176.20000000000002","7544.623167954353","2.842287776831931","2452.5345442687953"
"176.3","7544.651498581509","2.8238576275274796","2452.5246437909445"
"176.4","7544.679645505072","2.8055469289792008","2452.51480756593"
"176.5","7544.7076099156775","2.787354907709098","2452.505035176594"
"176.60000000000002","7544.735392996254","2.76928079523842","2452.4953262084887"
"176.70000000000002","7544.762995922066","2.7513238280554697","2452.48568024986"
"176.8","7544.790419860769","2.7334832475836164","2452.476096891628"
"176.9","7544.8176659724595","2.715758300149515","2452.466575727372"
"177.0","7544.844735409719","2.698148236951529","2452.457116353311"
"177.10000000000002","7544.871629317665","2.68065231402835","2452.447718368288"
"177.20000000000002","7544.898348834002","2.6632697922278243","2452.438381373752"
"177.3","7544.924895089064","2.6459999371759753","2452.4291049737412"
"177.4","7544.951269205868","2.6288420192462247","2452.4198887748676"
"177.5","7544.977472300156","2.611795313528811","2452.4107323862977"
"177.60000000000002","7545.003505480444","2.594859099800402","2452.4016354197374"
"177.70000000000002","7545.029369848072","2.578032662493905","2452.3925974894164"
"177.8","7545.055066497244","2.5613152906684653","2452.3836182120695"
"177.9","7545.080596515081","2.544706277979662","2452.3746972069216"
"178.0","7545.105960981661","2.5282049226498904","2452.3658340956717"
"178.10000000000002","7545.131160970067","2.511810527438935","2452.3570285024766"
"178.20000000000002","7545.156197546433","2.4955223996147327","2452.3482800539346"
"178.3","7545.181071769988","2.4793398509243207","2452.3395883790695"
"178.4","7545.205784693101","2.4632621975649713","2452.330953109316"
"178.5","7545.230337361325","2.4472887601555113","2452.322373878502"
"178.60000000000002","7545.25473081344","2.431418863707826","2452.3138503228347"
"178.70000000000002","7545.278966081499","2.4156518375985434","2452.305382080885"
"178.8","7545.30304419087","2.3999870155409027","2452.296968793571"
"178.9","7545.326966160282","2.3844237355568003","2452.2886101041436"
"179.0","7545.350733001861","2.368961339949016","2452.2803056581715"
"179.10000000000002","7545.374345721182","2.3535991752736174","2452.272055103526"
"179.20000000000002","7545.397805317304","2.3383365923125403","2452.263858090365"
"179.3","7545.421112782816","2.323172946046345","2452.2557142711194"
"179.4","7545.444269103877","2.3081075956271473","2452.2476233004777"
"179.5","7545.467275260257","2.293139904351723","2452.239584835372"
"179.60000000000002","7545.490132225384","2.278269239634784","2452.2315985349624"
"179.70000000000002","7545.512840966376","2.2634949729824267","2452.223664060623"
"179.8","7545.535402444088","2.2488164799657504","2452.215781075927"
"179.9","7545.557817613151","2.2342331401946427","2452.2079492466346"
"180.0","7545.580087422013","2.2197443372917367","2452.2001682406753"
"180.10000000000002","7545.602212812977","2.2053494588665314","2452.192437728136"
"180.20000000000002","7545.6241947222425","2.1910478964896813","2452.1847573812474"
"180.3","7545.646034079944","2.176839045667448","2452.177126874368"
"180.4","7545.667731810191","2.162722305816316","2452.1695458839718"
"180.5","7545.689288831107","2.1486970802377745","2452.162014088635"
"180.60000000000002","7545.710706054866","2.1347627760932566","2452.1545311690197"
"180.70000000000002","7545.731984387736","2.1209188043792415","2452.1470968078643"
"180.8","7545.75312473011","2.1071645799025163","2452.1397106899663"
"180.9","7545.774127976552","2.093499521255595","2452.132372502171"
"181.0","7545.794995015828","2.0799230507922983","2452.125081933358"
"181.10000000000002","7545.815726730948","2.0664345946034857","2452.1178386744273"
"181.20000000000002","7545.8363239991995","2.0530335824929473","2452.1106424182863"
"181.3","7545.856787692189","2.0397194479534484","2452.103492859837"
"181.4","7545.877118675874","2.026491628142927","2452.0963896959624"
"181.5","7545.8973178106025","2.0133495638608463","2452.089332625516"
"181.60000000000002","7545.91738595115","2.0002926995246963","2452.082321349305"
"181.70000000000002","7545.937323946752","1.9873204831466493","2452.075355570081"
"181.8","7545.957132641144","1.974432366310362","2452.0684349925255"
"181.9","7545.976812872594","1.961627804147929","2452.0615593232387"
"182.0","7545.996365473938","1.9489062553169823","2452.0547282707257"
"182.10000000000002","7546.015791272617","1.9362671819779398","2452.047941545385"
"182.20000000000002","7546.035091090713","1.9237100497713981","2452.0411988594956"
"182.3","7546.054265744979","1.9112343277956718","2452.034499927205"
"182.4","7546.073316046877","1.8988394885844755","2452.0278444645182"
"182.5","7546.092242802612","1.8865250080847504","2452.021232189283"
"182.60000000000002","7546.111046813165","1.8742903656346335","2452.0146628211805"
"182.70000000000002","7546.129728874326","1.8621350439415667","2452.008136081712"
"182.8","7546.148289776732","1.8500585290605478","2452.0016516941873"
"182.9","7546.166730305894","1.838060310372521","2451.9952093837132"
"183.0","7546.185051242235","1.8261398805629063","2451.9888088771822"
"183.10000000000002","7546.203253361121","1.8142967356002655","2451.9824499032593"
"183.20000000000002","7546.221337432893","1.8025303747151076","2451.976132192372"
"183.3","7546.239304222902","1.7908403003788285","2451.9698554766987"
"183.4","7546.25715449154","1.7792260182827864","2451.963619490157"
"183.5","7546.27488899427","1.7676870373175122","2451.9574239683916"
