"","{#status->#S}"
"0.0","9999"
"0.1","9998.974815948883"
"0.2","9998.949251511249"
"0.30000000000000004","9998.923300946151"
"0.4","9998.896958426138"
"0.5","9998.870218035943"
"0.6000000000000001","9998.843073771184"
"0.7000000000000001","9998.81551953701"
"0.8","9998.787549146744"
"0.9","9998.759156320517"
"1.0","9998.730334683853"
"1.1","9998.701077766258"
"1.2000000000000002","9998.671378999778"
"1.3","9998.641231717533"
"1.4000000000000001","9998.610629152234"
"1.5","9998.579564434678"
"1.6","9998.54803059222"
"1.7000000000000002","9998.516020547213"
"1.8","9998.483527115446"
"1.9000000000000001","9998.450543004534"
"2.0","9998.417060812304"
"2.1","9998.383073025143"
"2.2","9998.348572016332"
"2.3000000000000003","9998.313550044346"
"2.4000000000000004","9998.277999251137"
"2.5","9998.241911660385"
"2.6","9998.20527917573"
"2.7","9998.168093578968"
"2.8000000000000003","9998.130346528229"
"2.9000000000000004","9998.092029556123"
"3.0","9998.05313406786"
"3.1","9998.013651339348"
"3.2","9997.973572515248"
"3.3000000000000003","9997.932888607014"
"3.4000000000000004","9997.891590490903"
"3.5","9997.84966890594"
"3.6","9997.807114451878"
"3.7","9997.763917587106"
"3.8000000000000003","9997.720068626539"
"3.9000000000000004","9997.675557739467"
"4.0","9997.630374947383"
"4.1000000000000005","9997.58451012177"
"4.2","9997.537952981855"
"4.3","9997.490693092344"
"4.4","9997.442719861103"
"4.5","9997.394022536817"
"4.6000000000000005","9997.344590206614"
"4.7","9997.294411793651"
"4.800000000000001","9997.243476054668"
"4.9","9997.191771577496"
"5.0","9997.139286778543"
"5.1000000000000005","9997.086009900235"
"5.2","9997.031929008413"
"5.300000000000001","9996.977031989709"
"5.4","9996.921306548864"
"5.5","9996.86474020602"
"5.6000000000000005","9996.807320293965"
"5.7","9996.749033955346"
"5.800000000000001","9996.689868139827"
"5.9","9996.629809601218"
"6.0","9996.56884489456"
"6.1000000000000005","9996.50696037316"
"6.2","9996.444142185588"
"6.300000000000001","9996.380376272631"
"6.4","9996.315648364201"
"6.5","9996.249943976194"
"6.6000000000000005","9996.183248407307"
"6.7","9996.115546735811"
"6.800000000000001","9996.04682381627"
"6.9","9995.977064276218"
"7.0","9995.906252512785"
"7.1000000000000005","9995.834372689269"
"7.2","9995.761408731672"
"7.300000000000001","9995.687344325166"
"7.4","9995.612162910527"
"7.5","9995.535847680501"
"7.6000000000000005","9995.458381576127"
"7.7","9995.379747283003"
"7.800000000000001","9995.2999272275"
"7.9","9995.218903572913"
"8.0","9995.136658215575"
"8.1","9995.053172780887"
"8.200000000000001","9994.968428619311"
"8.3","9994.882406802308"
"8.4","9994.795088118193"
"8.5","9994.706453067956"
"8.6","9994.61648186101"
"8.700000000000001","9994.52515441088"
"8.8","9994.432450330823"
"8.9","9994.338348929403"
"9.0","9994.242829205978"
"9.1","9994.14586984614"
"9.200000000000001","9994.047449217085"
"9.3","9993.947545362915"
"9.4","9993.846135999867"
"9.5","9993.743198511484"
"9.600000000000001","9993.638709943707"
"9.700000000000001","9993.532646999909"
"9.8","9993.424986035841"
"9.9","9993.31570305452"
"10.0","9993.204773701038"
"10.100000000000001","9993.092173257293"
"10.200000000000001","9992.977876636656"
"10.3","9992.861858378548"
"10.4","9992.744092642954"
"10.5","9992.624553204842"
"10.600000000000001","9992.50321344852"
"10.700000000000001","9992.3800463619"
"10.8","9992.255024530696"
"10.9","9992.12812013251"
"11.0","9991.999304930867"
"11.100000000000001","9991.868550269151"
"11.200000000000001","9991.735827064454"
"11.3","9991.60110580134"
"11.4","9991.464356525516"
"11.5","9991.32554883743"
"11.600000000000001","9991.184651885762"
"11.700000000000001","9991.041634360825"
"11.8","9990.896464487887"
"11.9","9990.74911002038"
"12.0","9990.599538233033"
"12.100000000000001","9990.447715914892"
"12.200000000000001","9990.293609362254"
"12.3","9990.137184371499"
"12.4","9989.978406231818"
"12.5","9989.817239717846"
"12.600000000000001","9989.65364908219"
"12.700000000000001","9989.487598047854"
"12.8","9989.319049800548"
"12.9","9989.147966980916"
"13.0","9988.974311676631"
"13.100000000000001","9988.798045414394"
"13.200000000000001","9988.619129151819"
"13.3","9988.437523269204"
"13.4","9988.253187561195"
"13.5","9988.066081228333"
"13.600000000000001","9987.876162868484"
"13.700000000000001","9987.683390468148"
"13.8","9987.48772139366"
"13.9","9987.28911238226"
"14.0","9987.087519533045"
"14.100000000000001","9986.882898297808"
"14.200000000000001","9986.675203471736"
"14.3","9986.464389183986"
"14.4","9986.25040888815"
"14.5","9986.033215352572"
"14.600000000000001","9985.81276065054"
"14.700000000000001","9985.588996150353"
"14.8","9985.361872505244"
"14.9","9985.131339643181"
"15.0","9984.89734675652"
"15.100000000000001","9984.659842291523"
"15.200000000000001","9984.418773937748"
"15.3","9984.174088617281"
"15.4","9983.925732473834"
"15.5","9983.673650861698"
"15.600000000000001","9983.417788334556"
"15.700000000000001","9983.158088634142"
"15.8","9982.894494678747"
"15.9","9982.62694855159"
"16.0","9982.355391489018"
"16.1","9982.079763868574"
"16.2","9981.800005196892"
"16.3","9981.516054097441"
"16.400000000000002","9981.227848298115"
"16.5","9980.935324618657"
"16.6","9980.638418957928"
"16.7","9980.337066281008"
"16.8","9980.031200606134"
"16.900000000000002","9979.720754991471"
"17.0","9979.405661521718"
"17.1","9979.085851294541"
"17.2","9978.761254406836"
"17.3","9978.431799940823"
"17.400000000000002","9978.097415949958"
"17.5","9977.758029444682"
"17.6","9977.413566377976"
"17.7","9977.063951630751"
"17.8","9976.709108997053"
"17.900000000000002","9976.348961169082"
"18.0","9975.983429722033"
"18.1","9975.612435098752"
"18.2","9975.2358965942"
"18.3","9974.853732339734"
"18.400000000000002","9974.465859287197"
"18.5","9974.072193192813"
"18.6","9973.6726486009"
"18.7","9973.267138827374"
"18.8","9972.855575943075"
"18.900000000000002","9972.437870756878"
"19.0","9972.01393279862"
"19.1","9971.583670301825"
"19.200000000000003","9971.146990186216"
"19.3","9970.703798040047"
"19.400000000000002","9970.253998102211"
"19.5","9969.797493244148"
"19.6","9969.334184951564"
"19.700000000000003","9968.863973305917"
"19.8","9968.386756965712"
"19.900000000000002","9967.902433147585"
"20.0","9967.410897607167"
"20.1","9966.912044619754"
"20.200000000000003","9966.405766960743"
"20.3","9965.89195588587"
"20.400000000000002","9965.370501111238"
"20.5","9964.841290793107"
"20.6","9964.304211507497"
"20.700000000000003","9963.759148229552"
"20.8","9963.205984312699"
"20.900000000000002","9962.644601467584"
