"","{#status->#S}"
"0.0","9950"
"0.1","9942.077533898411"
"0.2","9932.760376754642"
"0.30000000000000004","9921.807189877645"
"0.4","9908.93647924262"
"0.5","9893.820529999506"
"0.6000000000000001","9876.078663366974"
"0.7000000000000001","9855.269837715541"
"0.8","9830.884666147922"
"0.9","9802.336995359992"
"1.0","9768.955291120765"
"1.1","9729.974210952008"
"1.2000000000000002","9684.526920862083"
"1.3","9631.638934977593"
"1.4000000000000001","9570.224525337713"
"1.5","9499.08705723922"
"1.6","9416.924934338007"
"1.7000000000000002","9322.345149894849"
"1.8","9213.886673926108"
"1.9000000000000001","9090.055968362418"
"2.0","8949.376690726798"
"2.1","8790.454976575347"
"2.2","8612.060439689702"
"2.3000000000000003","8413.221101600991"
"2.4000000000000004","8193.327875648853"
"2.5","7952.241190328247"
"2.6","7690.3892944159625"
"2.7","7408.84544508408"
"2.8000000000000003","7109.370395516246"
"2.9000000000000004","6794.408158009665"
"3.0","6467.027329375883"
"3.1","6130.807054739388"
"3.2","5789.674887283946"
"3.3000000000000003","5447.711639733944"
"3.4000000000000004","5108.943909933328"
"3.5","4777.14685078636"
"3.6","4455.677480798353"
"3.7","4147.3530794005965"
"3.8000000000000003","3854.3815396563855"
"3.9000000000000004","3578.342823166522"
"4.0","3320.2144465884985"
"4.1000000000000005","3080.430111523715"
"4.2","2858.9592943358552"
"4.3","2655.396382298117"
"4.4","2469.0500321059185"
"4.5","2299.0260773739374"
"4.6000000000000005","2144.2999268711687"
"4.7","2003.7766063652837"
"4.800000000000001","1876.3382466091512"
"4.9","1760.8799041336397"
"5.0","1656.3352041625096"
"5.1000000000000005","1561.6935348544546"
"5.2","1476.010517394131"
"5.300000000000001","1398.4133265207506"
"5.4","1328.102215181604"
"5.5","1264.3493553988326"
"5.6000000000000005","1206.4958757559755"
"5.7","1153.9477703109617"
"5.800000000000001","1106.1711806773094"
"5.9","1062.6874129786709"
"6.0","1023.06794160598"
"6.1000000000000005","986.9295679547462"
"6.2","953.9298399855828"
"6.300000000000001","923.7627931682409"
"6.4","896.1550413066882"
"6.5","870.8622237009322"
"6.6000000000000005","847.6658005025762"
"6.7","826.3701789442271"
"6.800000000000001","806.8001478172697"
"6.9","788.7985949707057"
"7.0","772.2244818412386"
"7.1000000000000005","756.9510494715182"
"7.2","742.8642316775112"
"7.300000000000001","729.8612526687166"
"7.4","717.8493882861537"
"7.5","706.7448719541281"
"7.6000000000000005","696.4719283457109"
"7.7","686.9619195781671"
"7.800000000000001","678.1525904483076"
"7.9","669.9874007714963"
"8.0","662.4149342961289"
"8.1","655.3883749297419"
"8.200000000000001","648.865042140147"
"8.3","642.8059783944855"
"8.4","637.1755823815424"
"8.5","631.9412825391855"
"8.6","627.073246090359"
"8.700000000000001","622.5441193881194"
"8.8","618.3287958924554"
"8.9","614.4042085579906"
"9.0","610.7491438101423"
"9.1","607.344074635102"
"9.200000000000001","604.1710106124892"
"9.3","601.2133629843579"
"9.4","598.45582308536"
"9.5","595.8842526606473"
"9.600000000000001","593.4855847743189"
"9.700000000000001","591.2477341652072"
"9.8","589.1595160414468"
"9.9","587.2105724230697"
"10.0","585.3913052450333"
"10.100000000000001","583.6928155234774"
"10.200000000000001","582.106847967299"
"10.3","580.6257404867334"
"10.4","579.242378111793"
"10.5","577.9501508872097"
"10.600000000000001","576.7429153578943"
"10.700000000000001","575.6149593006685"
"10.8","574.5609693948643"
"10.9","573.5760015569161"
"11.0","572.6554536928437"
"11.100000000000001","571.7950406479907"
"11.200000000000001","570.9907711559606"
"11.3","570.2389266087171"
"11.4","569.5360414876163"
"11.5","568.8788853109621"
"11.600000000000001","568.2644459677723"
"11.700000000000001","567.6899143200139"
"11.8","567.1526699667824"
"11.9","566.6502680739313"
"12.0","566.1804271816363"
"12.100000000000001","565.7410179104165"
"12.200000000000001","565.3300524933591"
"12.3","564.9456750687725"
"12.4","564.5861526733294"
"12.5","564.2498668810096"
"12.600000000000001","563.9353060378953"
"12.700000000000001","563.6410580471445"
"12.8","563.3658036623367"
"12.9","563.1083102508862"
"13.0","562.8674259923899"
"13.100000000000001","562.6420744796545"
"13.200000000000001","562.4312496927644"
"13.3","562.2340113189291"
"13.4","562.0494803930152"
"13.5","561.876835235642"
"13.600000000000001","561.7153076675233"
"13.700000000000001","561.564179480381"
"13.8","561.4227791462657"
"13.9","561.2904787484968"
"14.0","561.1666911186945"
"14.100000000000001","561.0508671655423"
"14.200000000000001","560.9424933819746"
"14.3","560.8410895184702"
"14.4","560.7462064110248"
"14.5","560.6574239532096"
"14.600000000000001","560.5743492024841"
"14.700000000000001","560.4966146116343"
"14.8","560.4238763768597"
"14.9","560.355812894629"
"15.0","560.2921233199833"
"15.100000000000001","560.2325262194729"
"15.200000000000001","560.1767583123942"
"15.3","560.124573294428"
"15.4","560.0757407381896"
"15.5","560.0300450655785"
"15.600000000000001","559.9872845871665"
"15.700000000000001","559.9472706041838"
"15.8","559.909826568971"
"15.9","559.874787300038"
"16.0","559.8419982481367"
"16.1","559.8113148099939"
"16.2","559.7826016865739"
"16.3","559.755732282956"
"16.400000000000002","559.7305881470998"
"16.5","559.7070584449564"
"16.6","559.6850394695542"
"16.7","559.6644341818401"
"16.8","559.6451517812086"
"16.900000000000002","559.6271073037863"
"17.0","559.6102212466653"
"17.1","559.5944192164008"
"17.2","559.5796316001945"
"17.3","559.5657932582963"
"17.400000000000002","559.552843236243"
"17.5","559.5407244956538"
"17.6","559.5293836623765"
"17.7","559.5187707908647"
"17.8","559.5088391437338"
"17.900000000000002","559.4995449855159"
"18.0","559.4908473896952"
"18.1","559.4827080581664"
"18.2","559.4750911523134"
"18.3","559.4679631349593"
"18.400000000000002","559.4612926224852"
"18.5","559.4550502464627"
"18.6","559.4492085241865"
"18.7","559.4437417375327"
"18.8","559.438625819608"
"18.900000000000002","559.4338382486854"
"19.0","559.42935794896"
"19.1","559.425165197683"
"19.200000000000003","559.421241538265"
"19.3","559.4175696989641"
"19.400000000000002","559.4141335167991"
"19.5","559.410917866351"
"19.6","559.4079085931405"
"19.700000000000003","559.4050924512841"
"19.8","559.4024570451563"
"19.900000000000002","559.3999907747991"
"20.0","559.3976827848375"
"20.1","559.3955229166764"
"20.200000000000003","559.3935016637681"
"20.3","559.3916101297519"
"20.400000000000002","559.3898399892826"
"20.5","559.3881834513737"
