"","{#status->#S}"
"0.0","9999"
"0.1","9998.974814141373"
"0.2","9998.949247777651"
"0.30000000000000004","9998.923295162862"
"0.4","9998.896950464343"
"0.5","9998.870207761436"
"0.6000000000000001","9998.843061044168"
"0.7000000000000001","9998.815504211898"
"0.8","9998.78753107196"
"0.9","9998.759135338269"
"1.0","9998.730310629922"
"1.1","9998.70105046977"
"1.2000000000000002","9998.671348282964"
"1.3","9998.64119739549"
"1.4000000000000001","9998.610591032671"
"1.5","9998.579522317661"
"1.6","9998.547984269897"
"1.7000000000000002","9998.515969803544"
"1.8","9998.483471725913"
"1.9000000000000001","9998.450482735849"
"2.0","9998.4169954221"
"2.1","9998.383002261662"
"2.2","9998.3484956181"
"2.3000000000000003","9998.313467739838"
"2.4000000000000004","9998.277910758427"
"2.5","9998.241816686792"
"2.6","9998.205177417445"
"2.7","9998.167984720674"
"2.8000000000000003","9998.130230242707"
"2.9000000000000004","9998.091905503843"
"3.0","9998.053001896567"
"3.1","9998.01351068362"
"3.2","9997.973422996056"
"3.3000000000000003","9997.932729831255"
"3.4000000000000004","9997.891422050921"
"3.5","9997.849490379045"
"3.6","9997.806925399826"
"3.7","9997.763717555576"
"3.8000000000000003","9997.719857144595"
"3.9000000000000004","9997.675334318998"
"4.0","9997.630139082525"
"4.1000000000000005","9997.584261288308"
"4.2","9997.537690636618"
"4.3","9997.49041667256"
"4.4","9997.442428783746"
"4.5","9997.39371619794"
"4.6000000000000005","9997.344267980641"
"4.7","9997.294073032666"
"4.800000000000001","9997.243120087665"
"4.9","9997.19139770962"
"5.0","9997.138894290294"
"5.1000000000000005","9997.085598046653"
"5.2","9997.031497018243"
"5.300000000000001","9996.976579064522"
"5.4","9996.920831862166"
"5.5","9996.86424290233"
"5.6000000000000005","9996.806799487857"
"5.7","9996.748488730464"
"5.800000000000001","9996.689297547875"
"5.9","9996.629212660908"
"6.0","9996.56822059053"
"6.1000000000000005","9996.506307654865"
"6.2","9996.443459966142"
"6.300000000000001","9996.379663427626"
"6.4","9996.31490373048"
"6.5","9996.249166350586"
"6.6000000000000005","9996.182436545332"
"6.7","9996.11469935033"
"6.800000000000001","9996.0459395761"
"6.9","9995.976141804704"
"7.0","9995.90529038632"
"7.1000000000000005","9995.83336943578"
"7.2","9995.760362829047"
"7.300000000000001","9995.686254199636"
"7.4","9995.611026934996"
"7.5","9995.534664172823"
"7.6000000000000005","9995.457148797337"
"7.7","9995.37846343548"
"7.800000000000001","9995.29859045308"
"7.9","9995.217511950943"
"8.0","9995.135209760898"
"8.1","9995.051665441775"
"8.200000000000001","9994.966860275332"
"8.3","9994.880775262114"
"8.4","9994.793391117255"
"8.5","9994.70468826622"
"8.6","9994.614646840477"
"8.700000000000001","9994.523246673116"
"8.8","9994.430467294394"
"8.9","9994.336287927219"
"9.0","9994.240687482566"
"9.1","9994.143644554828"
"9.200000000000001","9994.045137417092"
"9.3","9993.945144016358"
"9.4","9993.843641968673"
"9.5","9993.74060855421"
"9.600000000000001","9993.636020712253"
"9.700000000000001","9993.529855036131"
"9.8","9993.42208776807"
"9.9","9993.312694793953"
"10.0","9993.201651638034"
"10.100000000000001","9993.088933457548"
"10.200000000000001","9992.974515037258"
"10.3","9992.858370783915"
"10.4","9992.740474720638"
"10.5","9992.620800481212"
"10.600000000000001","9992.499321304307"
"10.700000000000001","9992.376010027607"
"10.8","9992.250839081853"
"10.9","9992.123780484806"
"11.0","9991.994805835116"
"11.100000000000001","9991.863886306106"
"11.200000000000001","9991.730992639457"
"11.3","9991.596095138813"
"11.4","9991.459163663285"
"11.5","9991.320167620863"
"11.600000000000001","9991.179075961732"
"11.700000000000001","9991.035857171495"
"11.8","9990.89047926429"
"11.9","9990.742909775812"
"12.0","9990.593115756239"
"12.100000000000001","9990.441063763039"
"12.200000000000001","9990.286719853697"
"12.3","9990.130049578316"
"12.4","9989.971017972122"
"12.5","9989.809589547858"
"12.600000000000001","9989.64572828807"
"12.700000000000001","9989.479397637275"
"12.8","9989.310560494032"
"12.9","9989.139179202879"
"13.0","9988.96521554617"
"13.100000000000001","9988.788630735784"
"13.200000000000001","9988.609385404725"
"13.3","9988.427439598594"
"13.4","9988.242752766939"
"13.5","9988.05528375449"
"13.600000000000001","9987.864990792252"
"13.700000000000001","9987.671831488493"
"13.8","9987.475762819582"
"13.9","9987.27674112071"
"14.0","9987.074722076475"
"14.100000000000001","9986.86966071133"
"14.200000000000001","9986.661511379902"
"14.3","9986.450227757161"
"14.4","9986.235762828468"
"14.5","9986.018068879468"
"14.600000000000001","9985.79709748584"
"14.700000000000001","9985.572799502908"
"14.8","9985.345125055108"
"14.9","9985.114023525291"
"15.0","9984.879443543896"
"15.100000000000001","9984.64133297795"
"15.200000000000001","9984.399638919931"
"15.3","9984.154307676463"
"15.4","9983.905284756858"
"15.5","9983.652514861495"
"15.600000000000001","9983.395941870032"
"15.700000000000001","9983.13550882947"
"15.8","9982.87115794202"
"15.9","9982.602830552838"
"16.0","9982.330467137557"
"16.1","9982.054007289667"
"16.2","9981.773389707707"
"16.3","9981.488552182283"
"16.400000000000002","9981.199431582912"
"16.5","9980.905963844674"
"16.6","9980.60808395469"
"16.7","9980.305725938404"
"16.8","9979.99882284568"
"16.900000000000002","9979.687306736714"
"17.0","9979.371108667741"
"17.1","9979.050158676555"
"17.2","9978.724385767826"
"17.3","9978.39371789822"
"17.400000000000002","9978.058081961315"
"17.5","9977.71740377231"
"17.6","9977.371608052528"
"17.7","9977.020618413708"
"17.8","9976.66435734208"
"17.900000000000002","9976.30274618224"
"18.0","9975.935705120786"
"18.1","9975.56315316975"
"18.2","9975.185008149803"
"18.3","9974.801186673227"
"18.400000000000002","9974.411604126673"
"18.5","9974.016174653678"
"18.6","9973.614811136953"
"18.7","9973.207425180435"
"18.8","9972.793927091101"
"18.900000000000002","9972.37422586054"
"19.0","9971.948229146286"
"19.1","9971.515843252899"
"19.200000000000003","9971.076973112798"
"19.3","9970.63152226685"
"19.400000000000002","9970.179392844697"
"19.5","9969.720485544825"
"19.6","9969.254699614385"
"19.700000000000003","9968.781932828739"
"19.8","9968.30208147075"
"19.900000000000002","9967.815040309802"
"20.0","9967.320702580544"
"20.1","9966.81895996137"
"20.200000000000003","9966.309702552622"
"20.3","9965.792818854508"
"20.400000000000002","9965.268195744748"
"20.5","9964.735718455928"
"20.6","9964.195270552576"
"20.700000000000003","9963.64673390794"
"20.8","9963.089988680484"
"20.900000000000002","9962.524913290077"
"21.0","9961.951384393902"
"21.1","9961.36927686205"
"21.200000000000003","9960.778463752817"
"21.3","9960.178816287698"
"21.400000000000002","9959.570203826075"
"21.5","9958.952493839583"
"21.6","9958.325551886179"
"21.700000000000003","9957.689241583888"
"21.8","9957.043424584232"
