,time,S
0,0.0,9950
1,0.2787207586660926,9950
2,0.35511913494367775,9949
3,0.361055449686134,9948
4,0.3752931971958553,9947
5,0.37681563339094226,9946
6,0.43072124860140804,9945
7,0.49948227475521556,9945
8,0.6040239436968378,9944
9,0.7494014283905948,9944
10,0.7757608277148429,9943
11,0.7944459051633146,9942
12,0.8647845700801664,9941
13,0.894009856655535,9940
14,0.9293803801336928,9940
15,0.981011943594733,9940
16,1.0872349766692082,9939
17,1.1194196567420107,9938
18,1.1287833647018053,9938
19,1.2157356479657246,9937
20,1.2202250857023387,9936
21,1.2346750455664763,9935
22,1.2393565442602892,9934
23,1.2641904274466442,9933
24,1.273708139489211,9933
25,1.2895332964754864,9932
26,1.308786892014114,9931
27,1.4050584182306143,9930
28,1.436521396524121,9929
29,1.4529336725767659,9929
30,1.4811225660995717,9928
31,1.53623310241003,9927
32,1.5815038907899108,9926
33,1.5926301961609028,9925
34,1.5988303501315297,9925
35,1.5999270210997443,9924
36,1.6273786817783722,9924
37,1.6468803410361765,9923
38,1.6933903671973098,9922
39,1.7031062552371878,9921
40,1.7112058513482853,9921
41,1.7324320117403058,9920
42,1.754413662166634,9919
43,1.7626646251200917,9918
44,1.8181893032283862,9918
45,1.8294653262525458,9917
46,1.8454178067491034,9916
47,1.8578395567200872,9915
48,1.9283525946886757,9914
49,1.9308139999083078,9913
50,1.9532954062000132,9912
51,2.0161036180332617,9911
52,2.019495753983168,9911
53,2.026610663373962,9910
54,2.06120763263732,9909
55,2.1294208295506643,9908
56,2.1994196056693838,9907
57,2.284267556229139,9906
58,2.290615596881466,9905
59,2.2953350835405377,9905
60,2.3144312343414097,9905
61,2.3342981712474873,9905
62,2.3490133359762297,9904
63,2.3851901081621154,9903
64,2.417156275904957,9902
65,2.4536039127298395,9901
66,2.4556344182918757,9900
67,2.4577608574259173,9899
68,2.4996103807909114,9898
69,2.500743596818296,9897
70,2.523753995814136,9897
71,2.58550736537223,9896
72,2.5940832029926435,9895
73,2.599929569555622,9894
74,2.6458774706019597,9893
