,time,Infectious
0,0.0,0.0050000000000000044
1,0.2,0.005106614605604862
2,0.4,0.0052291398671402
3,0.6000000000000001,0.005368393931540502
4,0.8,0.005525297723437238
5,1.0,0.005700795490309544
6,1.2000000000000002,0.005895877067122642
7,1.4000000000000001,0.006111621398250265
8,1.6,0.00634914911453764
9,1.8,0.0066096460602934936
10,2.0,0.006894352420792751
11,2.2,0.0072045738384299935
12,2.4000000000000004,0.0075416588870616695
13,2.6,0.007907012970595128
14,2.8000000000000003,0.008302090601052832
15,3.0,0.008728392367829279
16,3.2,0.009187457200378498
17,3.4000000000000004,0.009680859138155402
18,3.6,0.010210194780463887
19,3.8000000000000003,0.010777093982903007
20,4.0,0.011383180107930616
21,4.2,0.012030083192247175
22,4.4,0.012719437338686527
23,4.6000000000000005,0.013452828313532558
24,4.800000000000001,0.014231822457807648
25,5.0,0.015057925523628769
26,5.2,0.015932597423432553
27,5.4,0.01685720145738174
28,5.6000000000000005,0.017833026589131246
29,5.800000000000001,0.01886123710819623
30,6.0,0.019942893470985133
31,6.2,0.021078899125535046
32,6.4,0.022270030853455674
33,6.6000000000000005,0.023516891573058366
34,6.800000000000001,0.024819911496782764
35,7.0,0.02617934356905169
36,7.2,0.027595252508789348
37,7.4,0.02906748789290311
38,7.6000000000000005,0.030595715349704233
39,7.800000000000001,0.03217940289523772
40,8.0,0.03381780608607522
41,8.200000000000001,0.03550999216901557
42,8.4,0.03725482304178032
43,8.6,0.03905097665262934
44,8.8,0.04089695057166353
45,9.0,0.042791063123227405
46,9.200000000000001,0.044731481767305216
47,9.4,0.04671621641512612
48,9.600000000000001,0.04874314277985048
49,9.8,0.050810015058136364
50,10.0,0.052914472166449754
51,10.200000000000001,0.0550540617093437
52,10.4,0.057226245622291734
53,10.600000000000001,0.05942841657887409
54,10.8,0.06165791208634182
55,11.0,0.06391202514744221
56,11.200000000000001,0.06618801632195939
57,11.4,0.06848312688668998
58,11.600000000000001,0.07079458869602542
59,11.8,0.07311963052278528
60,12.0,0.0754554938527266
61,12.200000000000001,0.07779943681523879
62,12.4,0.08014873964978739
63,12.600000000000001,0.08250071952069164
64,12.8,0.08485272907200467
65,13.0,0.08720216442571957
66,13.200000000000001,0.08954647490701675
67,13.4,0.09188315990779532
68,13.600000000000001,0.0942097782140218
69,13.8,0.09652395267495442
70,14.0,0.09882336768633632
71,14.200000000000001,0.10110577779176394
72,14.4,0.10336900865667607
73,14.600000000000001,0.10561095611835936
74,14.8,0.10782959332672058
75,15.0,0.11002297039776525
76,15.200000000000001,0.11218921187911647
77,15.4,0.11432652306638998
78,15.600000000000001,0.11643318961674258
79,15.8,0.11850757561765317
80,16.0,0.12054812691844202
81,16.2,0.12255337100045809
82,16.400000000000002,0.12452191495975505
83,16.6,0.12645244729295696
84,16.8,0.12834373763221385
85,17.0,0.13019463461651676
86,17.2,0.13200406647673943
87,17.400000000000002,0.13377104057175368
88,17.6,0.13549464107707465
89,17.8,0.13717402866285877
90,18.0,0.13880843983832625
91,18.2,0.1403971842237775
92,18.400000000000002,0.14193964384644922
93,18.6,0.14343527250464155
94,18.8,0.14488359380274285
95,19.0,0.14628419710488663
96,19.200000000000003,0.14763673783055947
97,19.400000000000002,0.1489409361537647
98,19.6,0.15019657453219107
99,19.8,0.1514034940108357
100,20.0,0.15256159428392543
101,20.200000000000003,0.15367083159625605
102,20.400000000000002,0.15473121624692485
103,20.6,0.15574280930734527
104,20.8,0.15670572232493496
105,21.0,0.15762011489429126
106,21.200000000000003,0.15848619219919474
107,21.400000000000002,0.15930420236801843
108,21.6,0.16007443553377956
109,21.8,0.16079722145148279
110,22.0,0.16147292722106674
111,22.200000000000003,0.16210195522248724
112,22.400000000000002,0.16268474151457518
113,22.6,0.16322175377496032
114,22.8,0.16371348934823682
115,23.0,0.16416047340688777
116,23.200000000000003,0.16456325711273054
117,23.400000000000002,0.1649224157898932
118,23.6,0.16523854722084647
119,23.8,0.1655122703836037
120,24.0,0.1657442232549157
121,24.200000000000003,0.16593506128679955
122,24.400000000000002,0.16608545587608253
123,24.6,0.16619609322136156
124,24.8,0.1662676729160574
125,25.0,0.16630090604675832
126,25.200000000000003,0.16629651407539628
127,25.400000000000002,0.16625522756318906
128,25.6,0.1661777851733269
129,25.8,0.16606493221138352
130,26.0,0.16591741950513586
131,26.200000000000003,0.1657360023452642
132,26.400000000000002,0.1655214394893754
133,26.6,0.16527449220470228
134,26.8,0.1649959232152621
135,27.0,0.16468649584416573
136,27.200000000000003,0.16434697316003827
137,27.400000000000002,0.16397811718224975
138,27.6,0.16358068809578014
139,27.8,0.16315544352707673
140,28.0,0.1627031378662993
141,28.200000000000003,0.1622245215985973
142,28.400000000000002,0.16172034064801738
143,28.6,0.16119133589119
144,28.8,0.160638242598296
145,29.0,0.16006178993375986
146,29.200000000000003,0.15946270036407018
147,29.400000000000002,0.1588416893381519
148,29.6,0.15819946492701914
149,29.8,0.1575367274249409
150,30.0,0.1568541690218458
151,30.200000000000003,0.1561524735025545
152,30.400000000000002,0.15543231558034254
153,30.6,0.1546943608886131
154,30.8,0.15393926595259827
155,31.0,0.15316767783686897
156,31.200000000000003,0.15238023396939993
157,31.400000000000002,0.15157756199063416
158,31.6,0.15076027923179042
159,31.8,0.14992899273428373
160,32.0,0.1490842994840062
161,32.2,0.14822678612850937
162,32.4,0.14735702891486757
163,32.6,0.1464755936476922
164,32.800000000000004,0.1455830353338708
165,33.0,0.14467989814851745
166,33.2,0.1437667158840376
167,33.4,0.1428440117203441
168,33.6,0.14191229824396495
