"","{#status->#R}"
"0.0","0.0"
"0.1","1.0075354763625973e-6"
"0.2","2.0302934451609287e-6"
"0.30000000000000004","3.068503784781427e-6"
"0.4","4.122399841623102e-6"
"0.5","5.192218482312437e-6"
"0.6000000000000001","6.278200146701245e-6"
"0.7000000000000001","7.380588901659155e-6"
"0.8","8.499632495672512e-6"
"0.9","9.6355824142617e-6"
"1.0","1.0788693936229043e-5"
"1.1","1.1959226190749612e-5"
"1.2000000000000002","1.3147442215317476e-5"
"1.3","1.4353609014560075e-5"
"1.4000000000000001","1.5577997619933643e-5"
"1.5","1.682088315031268e-5"
"1.6","1.808254487348685e-5"
"1.7000000000000002","1.936326626857862e-5"
"1.8","2.066333508939544e-5"
"1.9000000000000001","2.1983043428730192e-5"
"2.0","2.3322687783624048e-5"
"2.1","2.4682569121605937e-5"
"2.2","2.606299294792312e-5"
"2.3000000000000003","2.74642693737775e-5"
"2.4000000000000004","2.8886713185582636e-5"
"2.5","3.033064391525644e-5"
"2.6","3.1796385911564984e-5"
"2.7","3.3284268412532924e-5"
"2.8000000000000003","3.479462561893624e-5"
"2.9000000000000004","3.63277967688934e-5"
"3.0","3.788412621357106e-5"
"3.1","3.946396349402085e-5"
"3.2","4.106766341916385e-5"
"3.3000000000000003","4.2695586144939724e-5"
"3.4000000000000004","4.434809725463777e-5"
"3.5","4.602556784042713e-5"
"3.6","4.7728374586104025e-5"
"3.7","4.945689985107374e-5"
"3.8000000000000003","5.1211531755585814e-5"
"3.9000000000000004","5.299266426724054e-5"
"4.0","5.4800697288785784e-5"
"4.1000000000000005","5.6636036747222904e-5"
"4.2","5.84990946842411e-5"
"4.3","6.0390289347999705e-5"
"4.4","6.231004528627814e-5"
"4.5","6.425879344101377e-5"
"4.6000000000000005","6.623697124424786e-5"
"4.7","6.824502271550035e-5"
"4.800000000000001","7.02833985605944e-5"
"4.9","7.2352556271952e-5"
"5.0","7.445296023038209e-5"
"5.1000000000000005","7.658508180838301e-5"
"5.2","7.87493994749817e-5"
"5.300000000000001","8.094639890213168e-5"
"5.4","8.317657307269309e-5"
"5.5","8.544042239001753e-5"
"5.6000000000000005","8.773845478916118e-5"
"5.7","9.007118584975027e-5"
"5.800000000000001","9.243913891052254e-5"
