"","{#status->#R}"
"0.0","0.0"
"0.1","1.0075363674830337e-6"
"0.2","2.0302970757190924e-6"
"0.30000000000000004","3.068512105181117e-6"
"0.4","4.122414908430226e-6"
"0.5","5.1922424624733975e-6"
"0.6000000000000001","6.278235321908815e-6"
"0.7000000000000001","7.3806376728706546e-6"
"0.8","8.4996973877853e-6"
"0.9","9.635666080951103e-6"
"1.0","1.0788799164954064e-5"
"1.1","1.1959355907931863e-5"
"1.2000000000000002","1.3147599491699007e-5"
"1.3","1.4353797070745933e-5"
"1.4000000000000001","1.5578219832125145e-5"
"1.5","1.6821143056237653e-5"
"1.6","1.8082846178533164e-5"
"1.7000000000000002","1.9363612852137715e-5"
"1.8","2.066373101142255e-5"
"1.9000000000000001","2.1983492936528357e-5"
"2.0","2.3323195318859143e-5"
"2.1","2.4683139327560168e-5"
"2.2","2.606363067699472e-5"
"2.3000000000000003","2.7464979695234565e-5"
"2.4000000000000004","2.8887501393579267e-5"
"2.5","3.0331515537119713e-5"
"2.6","3.17973467163614e-5"
"2.7","3.328532441992334e-5"
"2.8000000000000003","3.479578310832864e-5"
"2.9000000000000004","3.632906228890292e-5"
"3.0","3.788550659179731e-5"
"3.1","3.9465465847152495e-5"
"3.2","4.1069295163421166e-5"
"3.3000000000000003","4.269735500686579e-5"
"3.4000000000000004","4.435001128224948e-5"
"3.5","4.602763541473758e-5"
"3.6","4.7730604433028096e-5"
"3.7","4.9459301053729135e-5"
"3.8000000000000003","5.1214113767002114e-5"
"3.9000000000000004","5.2995436923489356e-5"
"4.0","5.4803670822545404e-5"
"4.1000000000000005","5.663922180179117e-5"
"4.2","5.8502502328010944e-5"
"4.3","6.039393108941186e-5"
"4.4","6.231393308926639e-5"
"4.5","6.426293974095822e-5"
"4.6000000000000005","6.624138896445231e-5"
"4.7","6.824972528421062e-5"
"4.800000000000001","7.02883999285745e-5"
"4.9","7.235787093063592e-5"
"5.0","7.445860323061938e-5"
"5.1000000000000005","7.659106877979708e-5"
"5.2","7.87557466459599e-5"
"5.300000000000001","8.095312312046748e-5"
"5.4","8.318369182690065e-5"
"5.5","8.544795383133996e-5"
"5.6000000000000005","8.774641775429455e-5"
"5.7","9.007959988430555e-5"
"5.800000000000001","9.244802429324906e-5"
"5.9","9.485222295336369e-5"
"6.0","9.72927358560282e-5"
"6.1000000000000005","9.977011113231525e-5"
"6.2","0.0001022849051753473"
"6.300000000000001","0.0001048376827644815"
"6.4","0.00010742901719135048"
"6.5","0.00011005949038778656"
"6.6000000000000005","0.0001127296930556569"
"6.7","0.00011544022479863831"
"6.800000000000001","0.00011819169425595976"
"6.9","0.00012098471923814202"
"7.0","0.00012381992686476368"
"7.1000000000000005","0.0001266979537042836"
"7.2","0.0001296194459159496"
"7.300000000000001","0.00013258505939382501"
"7.4","0.00013559545991296315"
"7.5","0.00013865132327776217"
"7.6000000000000005","0.00014175333547253216"
"7.7","0.00014490219281430654"
"7.800000000000001","0.00014809860210793154"
"7.9","0.00015134328080346646"
"8.0","0.0001546369571559292"
"8.1","0.00015798037038742104"
"8.200000000000001","0.0001613742708516659"
"8.3","0.0001648194202009994"
"8.4","0.0001683165915558433"
