"","{#status->#R}"
"0.0","0.0"
"0.1","1.0075356673115044e-6"
"0.2","2.030294223114464e-6"
"0.30000000000000004","3.0685055676688675e-6"
"0.4","4.1224030701204295e-6"
"0.5","5.192223620746068e-6"
"0.6000000000000001","6.278207683983358e-6"
"0.7000000000000001","7.3805993522556315e-6"
"0.8","8.499646400604575e-6"
"0.9","9.635600342142345e-6"
"1.0","1.0788716484335399e-5"
"1.1","1.1959253986132404e-5"
"1.2000000000000002","1.3147475915948809e-5"
"1.3","1.4353649310520781e-5"
"1.4000000000000001","1.5578045234641454e-5"
"1.5","1.682093884179262e-5"
"1.6","1.8082609435685115e-5"
"1.7000000000000002","1.936334053272149e-5"
"1.8","2.0663419925394545e-5"
"1.9000000000000001","2.1983139746635734e-5"
"2.0","2.332279653512749e-5"
"2.1","2.4682691301593747e-5"
"2.2","2.606312959608324e-5"
"2.3000000000000003","2.7464421576260256e-5"
"2.4000000000000004","2.888688207671779e-5"
"2.5","3.0330830679328257e-5"
"2.6","3.1796591784647136e-5"
"2.7","3.328449468438516e-5"
"2.8000000000000003","3.4794873634964826e-5"
"2.9000000000000004","3.632806793217738e-5"
"3.0","3.7884421986956424e-5"
"3.1","3.946428540228478e-5"
"3.2","4.106801305125131e-5"
"3.3000000000000003","4.269596515627476e-5"
"3.4000000000000004","4.4348507369511764e-5"
"3.5","4.602601085446662e-5"
"3.6","4.772885236882053e-5"
"3.7","4.94574143484983e-5"
"3.8000000000000003","5.121208499299081e-5"
"3.9000000000000004","5.299325835195172e-5"
"4.0","5.480133441308727e-5"
"4.1000000000000005","5.6636719191358165e-5"
"4.2","5.8499824819512966e-5"
"4.3","6.039106963997254e-5"
"4.4","6.231087829808542e-5"
"4.5","6.42596818367744e-5"
"4.6000000000000005","6.623791779259471e-5"
"4.7","6.824603029322458e-5"
"4.800000000000001","7.028447015640915e-5"
"4.9","7.235369499037926e-5"
"5.0","7.445416929576675e-5"
"5.1000000000000005","7.658636456903798e-5"
"5.2","7.875075940746824e-5"
"5.300000000000001","8.094783961567935e-5"
"5.4","8.317809831376351e-5"
"5.5","8.544203604701665e-5"
"5.6000000000000005","8.77401608973047e-5"
"5.7","9.007298859608699e-5"
"5.800000000000001","9.244104263912063e-5"
"5.9","9.48448544028708e-5"
"6.0","9.728496326265169e-5"
"6.1000000000000005","9.976191671252343e-5"
"6.2","0.00010227627048697069"
"6.300000000000001","0.0001048285886843889"
"6.4","0.0001074194438924043"
"6.5","0.00011004941731505509"
"6.6000000000000005","0.00011271909890186005"
"6.7","0.00011542908747880265"
"6.800000000000001","0.00011817999088125839"
"6.9","0.00012097242608889353"
"7.0","0.00012380701936256396"
"7.1000000000000005","0.00012668440638324328"
"7.2","0.00012960523239300933"
"7.300000000000001","0.00013257015233811956"
"7.4","0.00013557983101420473"
"7.5","0.00013863494321361244"
"7.6000000000000005","0.0001417361738749311"
"7.7","0.00014488421823472596"
"7.800000000000001","0.00014807978198151938"
"7.9","0.00015132358141204766"
"8.0","0.00015461634358982713"
"8.1","0.0001579588065060632"
"8.200000000000001","0.00016135171924293572"
"8.3","0.00016479584213929523"
"8.4","0.00016829194695880447"
"8.5","0.00017184081706056087"
"8.6","0.00017544324757223483"
"8.700000000000001","0.00017910004556576092"
"8.8","0.00018281203023561777"
"8.9","0.00018658003307973412"
"9.0","0.00019040489808305904"
"9.1","0.00019428748190383362"
"9.200000000000001","0.00019822865406260337"
"9.3","0.00020222929713401035"
"9.4","0.00020629030694140483"
"9.5","0.0002104125927543161"
"9.600000000000001","0.00021459707748882427"
"9.700000000000001","0.00021884469791087297"
"9.8","0.00022315640484256617"
"9.9","0.00022753316337149055"
"10.0","0.00023197595306310648"
"10.100000000000001","0.0002364857681762518"
"10.200000000000001","0.00024106361788180157"
"10.3","0.00024571052648452894"
"10.4","0.0002504275336482126"
"10.5","0.000255215694624036"
"10.600000000000001","0.0002600760804823254"
"10.700000000000001","0.0002650097783476733"
"10.8","0.00027001789163749534"
"10.9","0.0002751015403040685"
"11.0","0.00028026186108009966"
"11.100000000000001","0.0002855000077278743"
"11.200000000000001","0.0002908171512920345"
"11.3","0.00029621448035603874"
"11.4","0.00030169320130235306"
"11.5","0.0003072545385764266"
"11.600000000000001","0.00031289973495450443"
"11.700000000000001","0.0003186300518153304"
"11.8","0.0003244467694157946"
"11.9","0.0003303511871705799"
"12.0","0.0003363446239358629"
"12.100000000000001","0.00034242841829712576"
"12.200000000000001","0.0003486039288611355"
"12.3","0.0003548725345521476"
"12.4","0.0003612356349123938"
"12.5","0.0003676946504069111"
"12.600000000000001","0.0003742510227327723"
"12.700000000000001","0.00038090621513277946"
"12.8","0.0003876617127136794"
"12.9","0.0003945190227689645"
"13.0","0.0004014796751063211"
"13.100000000000001","0.00040854522237978826"
"13.200000000000001","0.00041571724042669116"
"13.3","0.0004229973286094143"
"13.4","0.0004303871101620799"
"13.5","0.00043788823254219675"
"13.600000000000001","0.0004455023677873489"
"13.700000000000001","0.00045323121287698927"
"13.8","0.0004610764900994091"
"13.9","0.0004690399474239517"
"14.0","0.00047712335887854"
"14.100000000000001","0.00048532852493259033"
"14.200000000000001","0.0004936572728853839"
"14.3","0.0005021114572599668"
"14.4","0.0005106929602026552"
"14.5","0.0005194036918882162"
"14.600000000000001","0.0005282455909308028"
"14.700000000000001","0.0005372206248007163"
"14.8","0.000546330790247074"
"14.9","0.0005555781137264595"
"15.0","0.0005649646518376336"
"15.100000000000001","0.0005744924917623852"
"15.200000000000001","0.0005841637517126017"
"15.3","0.0005939805813836406"
"15.4","0.0006039451624140826"
"15.5","0.0006140597088519495"
"15.600000000000001","0.0006243264676274706"
"15.700000000000001","0.0006347477190324798"
"15.8","0.0006453257772065304"
"15.9","0.0006560629906298128"
"16.0","0.0006669617426229601"
"16.1","0.0006780244518538316"
"16.2","0.000689253572851361"
"16.3","0.000700651596526557"
"16.400000000000002","0.0007122210507007503"
"16.5","0.0007239645006411725"
"16.6","0.0007358845496039632"
"16.7","0.0007479838393846937"
"16.8","0.0007602650508765038"
"16.900000000000002","0.0007727309046359435"
"17.0","0.0007853841614566148"
"17.1","0.0007982276229507097"
"17.2","0.0008112641321385409"
"17.3","0.0008244965740461614"
"17.400000000000002","0.0008379278763111716"
"17.5","0.0008515610097968119"
"17.6","0.0008653989892144431"
"17.7","0.0008794448737545091"
"17.8","0.0008937017677260894"
"17.900000000000002","0.0009081728212051382"
"18.0","0.0009228612306915155"
"18.1","0.0009377702397749106"
"18.2","0.0009529031398097651"
"18.3","0.0009682632705992969"
"18.400000000000002","0.000983854021088732"
"18.5","0.0009996788300678497"
"18.6","0.001015741186882947"
"18.7","0.0010320446321583298"
"18.8","0.0010485927585274387"
"18.900000000000002","0.0010653892113737168"
"19.0","0.00108243768958133"
"19.1","0.0010997419462958462"
"19.200000000000003","0.0011173057896949863"
"19.3","0.001135133083769556"
"19.400000000000002","0.001153227749114668"
"19.5","0.0011715937637313686"
"19.6","0.001190235163838777"
"19.700000000000003","0.0012091560446968533"
"19.8","0.0012283605614399021"
"19.900000000000002","0.0012478529299209309"
"20.0","0.0012676374275669702"
"20.1","0.0012877183942454722"
"20.200000000000003","0.0013081002331419018"
"20.3","0.0013287874116486296"
"20.400000000000002","0.0013497844622652445"
"20.5","0.0013710959835103991"
