"","{#status->#R}"
"0.0","0.0"
"0.1","0.001174668047763904"
"0.2","0.001851759477439965"
"0.30000000000000004","0.0023193090250657037"
"0.4","0.002708994149566854"
"0.5","0.0030820161871231654"
"0.6000000000000001","0.003467910225029964"
"0.7000000000000001","0.003882092435149132"
"0.8","0.004333803571753934"
"0.9","0.004829715283869057"
"1.0","0.005375578371843841"
"1.1","0.005976987707592936"
"1.2000000000000002","0.006639749265362886"
"1.3","0.007370068481958691"
"1.4000000000000001","0.008174658859441946"
"1.5","0.009060815325976256"
"1.6","0.01003647223577156"
"1.7000000000000002","0.011110254687394244"
"1.8","0.01229152669331904"
"1.9000000000000001","0.013590437308802182"
"2.0","0.015017964618438084"
"2.1","0.016585956803551526"
"2.2","0.01830716906618595"
"2.3000000000000003","0.020195294829142934"
"2.4000000000000004","0.022264989307738854"
"2.5","0.02453188323615838"
"2.6","0.02701258422685011"
"2.7","0.02972466295367402"
"2.8000000000000003","0.03268662109454681"
"2.9000000000000004","0.035917837769609676"
"3.0","0.03943849109464337"
"3.1","0.04326945146975159"
"3.2","0.04743214337722013"
"3.3000000000000003","0.051948372808831945"
"3.4000000000000004","0.05684011801970763"
"3.5","0.062129282145985516"
"3.6","0.06783740735054991"
"3.7","0.07398535158215452"
"3.8000000000000003","0.08059293073456263"
"3.9000000000000004","0.08767853093220272"
"4.0","0.09525869777399527"
"4.1000000000000005","0.10334771153046411"
"4.2","0.11195715937217149"
"4.3","0.12109551754562534"
"4.4","0.13076775782784697"
"4.5","0.14097499340677166"
"4.6000000000000005","0.15171417939763182"
"4.7","0.16297788240459163"
"4.800000000000001","0.17475413182377691"
"4.9","0.18702636298690753"
"5.0","0.1997734588754784"
"5.1000000000000005","0.21296989318449838"
"5.2","0.22658597323733853"
"5.300000000000001","0.24058817694491985"
"5.4","0.2549395739690625"
"5.5","0.26960031777487126"
"5.6000000000000005","0.2845281925722518"
"5.7","0.29967919740935156"
"5.800000000000001","0.31500814896127033"
"5.9","0.3304692848379073"
"6.0","0.34601685041826846"
"6.1000000000000005","0.3616056541461111"
"6.2","0.37719157869496983"
"6.300000000000001","0.39273203821479186"
"6.4","0.408186374798533"
"6.5","0.4235161901689905"
"6.6000000000000005","0.4386856112325977"
"6.7","0.453661490467541"
"6.800000000000001","0.46841354403989555"
"6.9","0.4829144320436057"
"7.0","0.49713978634069544"
"7.1000000000000005","0.5110681921647935"
"7.2","0.5246811299888468"
"7.300000000000001","0.5379628842017561"
"7.4","0.5509004249473728"
"7.5","0.5634832691106882"
"7.6000000000000005","0.5757033259435047"
"7.7","0.5875547322522832"
"7.800000000000001","0.5990336814634304"
"7.9","0.610138250267422"
"8.0","0.6208682259467435"
"8.1","0.6312249369308254"
"8.200000000000001","0.6412110886053073"
"8.3","0.6508306059396701"
"8.4","0.6600884840893313"
"8.5","0.6689906477756483"
"8.6","0.6775438199478038"
"8.700000000000001","0.6857553999807392"
"8.8","0.6936333514587915"
"8.9","0.7011860994306778"
"9.0","0.7084224368930353"
"9.1","0.7153514401620542"
"9.200000000000001","0.7219823927212796"
"9.3","0.7283247170842125"
"9.4","0.7343879141791164"
"9.5","0.7401815097470721"
"9.600000000000001","0.7457150072398894"
"9.700000000000001","0.7509978467094326"
"9.8","0.7560393691921088"
"9.9","0.7608487861098717"
"10.0","0.765435153230611"
"10.100000000000001","0.7698073487549851"
"10.200000000000001","0.7739740551226005"
"10.3","0.7779437441571363"
"10.4","0.7817246651969296"
"10.5","0.7853248358841667"
"10.600000000000001","0.7887520353117963"
"10.700000000000001","0.7920137992523228"
"10.8","0.7951174172165429"
"10.9","0.798069931112926"
"11.0","0.8008781352996409"
"11.100000000000001","0.8035485778411411"
"11.200000000000001","0.8060875627997445"
"11.3","0.8085011534097951"
"11.4","0.8107951759978127"
"11.5","0.812975224526568"
"11.600000000000001","0.8150466656543273"
"11.700000000000001","0.8170146442126612"
"11.8","0.8188840890172704"
"11.9","0.8206597189363196"
"12.0","0.8223460491498669"
"12.100000000000001","0.8239473975421854"
"12.200000000000001","0.8254678911761828"
"12.3","0.8269114728057797"
"12.4","0.8282819073880839"
"12.5","0.8295827885625484"
"12.600000000000001","0.8308175450690795"
"12.700000000000001","0.8319894470813252"
"12.8","0.8331016124351596"
"12.9","0.8341570127357485"
"13.0","0.8351584793295519"
"13.100000000000001","0.8361087091302526"
"13.200000000000001","0.8370102702899134"
"13.3","0.8378656077086938"
"13.4","0.8386770483782431"
"13.5","0.8394468065554284"
"13.600000000000001","0.8401769887644095"
"13.700000000000001","0.8408695986262381"
"13.8","0.8415265415161546"
"13.9","0.8421496290496254"
"14.0","0.8427405833988821"
"14.100000000000001","0.84330104144235"
"14.200000000000001","0.8438325587498597"
"14.3","0.8443366134069711"
"14.4","0.8448146096820753"
"14.5","0.8452678815402301"
"14.600000000000001","0.8456976960078919"
"14.700000000000001","0.846105256392879"
"14.8","0.8464917053640165"
"14.9","0.8468581278949893"
"15.0","0.8472055540769776"
"15.100000000000001","0.8475349618046594"
"15.200000000000001","0.8478472793401519"
"15.3","0.8481433877594332"
"15.4","0.8484241232857266"
"15.5","0.8486902795142681"
"15.600000000000001","0.8489426095327912"
"15.700000000000001","0.8491818279419742"
"15.8","0.8494086127799922"
"15.9","0.849623607355211"
"16.0","0.8498274219909437"
"16.1","0.8500206356860784"
"16.2","0.850203797695263"
"16.3","0.8503774290322111"
"16.400000000000002","0.8505420238995753"
"16.5","0.8506980510487061"
"16.6","0.8508459550724988"
"16.7","0.8509861576344061"
"16.8","0.8511190586365769"
