"","{#status->#I}"
"0.0","0.003"
"0.1","0.003531559169422589"
"0.2","0.0041564294246629555"
"0.30000000000000004","0.004890654373174457"
"0.4","0.005752906915764149"
"0.5","0.006764870451603895"
"0.6000000000000001","0.007951655894896676"
"0.7000000000000001","0.009342249627874555"
"0.8","0.010969983023610214"
"0.9","0.012873007911076238"
"1.0","0.015094753872486674"
"1.1","0.017684332094864304"
"1.2000000000000002","0.020696836241278604"
"1.3","0.02419347325136454"
"1.4000000000000001","0.028241436313824204"
"1.5","0.03291340936784714"
"1.6","0.038286569392750505"
"1.7000000000000002","0.04444093305342128"
"1.8","0.051456883714467425"
"1.9000000000000001","0.05941172159891962"
"2.0","0.06837511444603522"
"2.1","0.07840340019711278"
"2.2","0.08953281762669425"
"2.3000000000000003","0.10177192067524303"
"2.4000000000000004","0.115093661516914"
"2.5","0.12942788247736012"
"2.6","0.14465519218561854"
"2.7","0.16060335064244438"
"2.8000000000000003","0.17704727555762453"
"2.9000000000000004","0.19371354522800935"
"3.0","0.2102897898906464"
"3.1","0.22643867955513106"
"3.2","0.241815452116696"
"3.3000000000000003","0.25608725431410717"
"3.4000000000000004","0.2689521659964801"
"3.5","0.28015576308375745"
"3.6","0.2895034605867655"
"3.7","0.29686756684794746"
"3.8000000000000003","0.30218880024324546"
"3.9000000000000004","0.30547278086530927"
"4.0","0.3067825663045288"
"4.1000000000000005","0.3062285836977736"
"4.2","0.3039573292175863"
"4.3","0.30014002567240894"
"4.4","0.294962135928478"
"4.5","0.28861430596383697"
"4.6000000000000005","0.2812850160846004"
"4.7","0.2731549852476417"
"4.800000000000001","0.2643932118108059"
"4.9","0.255154439153465"
"5.0","0.24557779322976653"
"5.1000000000000005","0.23578633570270582"
"5.2","0.22588729658919646"
"5.300000000000001","0.21597278297239933"
"5.4","0.2061207972359702"
"5.5","0.19639643430012083"
"5.6000000000000005","0.18685315962726173"
"5.7","0.177534097057023"
"5.800000000000001","0.1684732775954819"
"5.9","0.15969681747878933"
"6.0","0.15122400679889025"
"6.1000000000000005","0.14306829945141664"
"6.2","0.13523820185456623"
"6.300000000000001","0.12773806242616367"
"6.4","0.12056876672730277"
"6.5","0.11372834491637286"
"6.6000000000000005","0.10721249904540002"
"6.7","0.10101505803055223"
"6.800000000000001","0.09512836803433367"
"6.9","0.08954362565071992"
"7.0","0.08425116078854311"
"7.1000000000000005","0.07924067557475033"
"7.2","0.07450144499704241"
"7.300000000000001","0.07002248440758403"
"7.4","0.06579268843674574"
"7.5","0.06180094533050144"
"7.6000000000000005","0.0580362302335876"
"7.7","0.05448768049525168"
"7.800000000000001","0.05114465567516966"
"7.9","0.047996784572019724"
"8.0","0.0450340012834073"
"8.1","0.04224657202998321"
"8.200000000000001","0.03962511423512087"
"8.3","0.03716060914087984"
"8.4","0.03484440905777994"
"8.5","0.03266824018696556"
"8.6","0.030624201815734175"
"8.700000000000001","0.028704762568492435"
"8.8","0.02690275429261753"
